Date,Demand,Drybulb,Dewpnt,Holiday
2007-01-01 00:00:00,12624.0,28.375,21.5,1
2007-01-01 01:00:00,11854.0,29.25,23.125,1
2007-01-01 02:00:00,11293.0,31.375,25.5,1
2007-01-01 03:00:00,11014.0,31.875,26.125,1
2007-01-01 04:00:00,10993.0,32.5,27.625,1
2007-01-01 05:00:00,11179.0,33.125,29.75,1
2007-01-01 06:00:00,11572.0,35.25,32.5,1
2007-01-01 07:00:00,11976.0,36.375,33.5,1
2007-01-01 08:00:00,12639.0,37.25,34.5,1
2007-01-01 09:00:00,13639.0,38.125,36.25,1
2007-01-01 10:00:00,14578.0,38.75,36.625,1
2007-01-01 11:00:00,15193.0,39.5,37.875,1
2007-01-01 12:00:00,15381.0,40.625,38.75,1
2007-01-01 13:00:00,15286.0,41.875,39.625,1
2007-01-01 14:00:00,15113.0,42.25,40.25,1
2007-01-01 15:00:00,15276.0,44.375,42.125,1
2007-01-01 16:00:00,16354.0,44.0,42.375,1
2007-01-01 17:00:00,17101.0,43.125,41.875,1
2007-01-01 18:00:00,16835.0,42.5,41.375,1
2007-01-01 19:00:00,16319.0,41.625,40.625,1
2007-01-01 20:00:00,15599.0,42.25,41.125,1
2007-01-01 21:00:00,14483.0,42.0,40.375,1
2007-01-01 22:00:00,13043.0,39.75,37.875,1
2007-01-01 23:00:00,11839.0,39.0,36.375,1
2007-01-02 00:00:00,11013.0,38.625,36.5,0
2007-01-02 01:00:00,10541.0,39.375,36.75,0
2007-01-02 02:00:00,10350.0,39.75,36.5,0
2007-01-02 03:00:00,10374.0,40.875,35.875,0
2007-01-02 04:00:00,10745.0,40.0,34.5,0
2007-01-02 05:00:00,11885.0,39.5,33.625,0
2007-01-02 06:00:00,14160.0,40.25,33.5,0
2007-01-02 07:00:00,15462.0,40.5,32.25,0
2007-01-02 08:00:00,15798.0,39.875,30.25,0
2007-01-02 09:00:00,16028.0,40.0,28.0,0
2007-01-02 10:00:00,16237.0,40.625,26.25,0
2007-01-02 11:00:00,16256.0,40.75,23.25,0
2007-01-02 12:00:00,16152.0,41.5,21.875,0
2007-01-02 13:00:00,16061.0,42.25,20.625,0
2007-01-02 14:00:00,15944.0,42.25,19.125,0
